created_at,entry_id,soil1,soil,temperature,humidity
2024-10-24T21:59:38+07:00,44618,25,40,24.1,98
2024-10-24T22:00:01+07:00,44619,26,42,24.1,97
2024-10-24T22:00:24+07:00,44620,26,40,24,98
2024-10-24T22:00:48+07:00,44621,25,41,24.1,97
2024-10-24T22:01:11+07:00,44622,25,42,24.1,98
2024-10-24T22:01:34+07:00,44623,25,40,24.1,97
2024-10-24T22:01:58+07:00,44624,24,41,24,97
2024-10-24T22:02:22+07:00,44625,24,41,23.8,97
2024-10-24T22:02:45+07:00,44626,25,40,23.8,97
2024-10-24T22:03:09+07:00,44627,25,40,23.8,97
2024-10-24T22:03:33+07:00,44628,25,40,23.8,97
2024-10-24T22:03:56+07:00,44629,26,39,23.8,97
2024-10-24T22:04:20+07:00,44630,25,41,23.8,97
2024-10-24T22:04:43+07:00,44631,25,40,23.8,97
2024-10-24T22:05:06+07:00,44632,25,41,23.8,97
2024-10-24T22:05:30+07:00,44633,25,40,23.8,97
2024-10-24T22:05:54+07:00,44634,26,41,23.8,97
